--, IBI
2438.470994,0.812537
2439.267906,0.796911
2440.111694,0.843789
2440.908606,0.796911
2441.689892,0.781286
2442.471177,0.781286
2443.268089,0.796911
2444.065000,0.796911
2444.861912,0.796911
2464.050290,0.796911
2464.862827,0.812537
2465.644113,0.781286
2466.456650,0.812537
2467.253562,0.796911
2476.879002,0.812537
2482.363628,0.781286
2483.144914,0.781286
2483.941826,0.796911
2490.285866,0.796911
2491.082778,0.796911
2491.879689,0.796911
2492.692226,0.812537
2507.599159,0.781286
2508.380444,0.781286
2509.192981,0.812537
2598.493944,0.781286
2599.290856,0.796911
2600.087767,0.796911
2600.837801,0.750034
2611.869556,0.781286
2634.526844,0.890666
2644.464799,0.781286
2650.793213,0.750034
2654.043362,0.859414
2654.809022,0.765660
2655.543431,0.734409
2656.418471,0.875040
2661.934348,0.781286
2662.621880,0.687531
2663.465668,0.843789
2664.200077,0.734409
2672.653589,0.718783
2673.434875,0.781286
2674.200535,0.765660
2674.950569,0.750034
2675.653726,0.703157
2698.561025,0.875040
2699.576696,1.015671
2710.077177,0.718783
2710.827211,0.750034
2715.546177,0.781286
2716.280586,0.734409
2717.124375,0.843789
2720.952675,0.750034
2721.718335,0.765660
2722.483995,0.765660
2723.296532,0.812537
2724.030941,0.734409
2724.827852,0.796911
2725.562261,0.734409
2731.015635,0.796911
2731.765670,0.750034
2732.515704,0.750034
2733.312616,0.796911
2734.047024,0.734409
2734.828310,0.781286
2735.578344,0.750034
2736.344004,0.765660
2737.125290,0.781286
2737.922202,0.796911
2738.656610,0.734409
2749.328974,0.812537
2750.141511,0.812537
2750.875920,0.734409
2751.672831,0.796911
2752.422865,0.750034
2753.188525,0.765660
2753.954185,0.765660
2754.751097,0.796911
2755.548008,0.796911
2756.344920,0.796911
2760.220097,0.765660
2761.048260,0.828163
2761.798295,0.750034
2762.579580,0.781286
2763.313989,0.734409
2764.173403,0.859414
2764.907812,0.734409
2765.704723,0.796911
2766.470383,0.765660
2767.251669,0.781286
2768.032955,0.781286
2778.658441,0.812537
2803.518954,0.781286
2804.300240,0.781286
2814.847598,0.765660
2815.613258,0.765660
2826.238744,0.750034
2852.693080,0.781286
2853.474366,0.781286
2854.286903,0.812537
2855.005686,0.718783
2855.880726,0.875040
2856.677638,0.796911
2857.474549,0.796911
2858.193332,0.718783
2859.052746,0.859414
2859.802781,0.750034
2864.506121,0.750034
2865.334284,0.828163
2866.099944,0.765660
2866.959358,0.859414
2867.709393,0.750034
2868.490678,0.781286
2869.365718,0.875040
2870.053250,0.687531
2897.320123,0.765660
2898.038906,0.718783
2898.913946,0.875040
2899.648355,0.734409
2900.429640,0.781286
2901.226552,0.796911
2901.945335,0.718783
2909.648812,0.750034
2925.633919,0.765660
2926.399579,0.765660
2927.149613,0.750034
2927.930899,0.781286
2928.680933,0.750034
2929.446594,0.765660
2930.212254,0.765660
2930.993539,0.781286
2931.759199,0.765660
2932.524859,0.765660
2933.290519,0.765660
2934.056180,0.765660
2934.837465,0.781286
2935.618751,0.781286
2936.400037,0.781286
2937.196948,0.796911
2937.978234,0.781286
2938.743894,0.765660
2939.540806,0.796911
2940.322091,0.781286
2941.119003,0.796911
2941.900289,0.781286
2942.681574,0.781286
2943.462860,0.781286
2944.228520,0.765660
2945.009806,0.781286
2945.759840,0.750034
2946.572377,0.812537
2947.306786,0.734409
2948.088072,0.781286
